,x
GSM4511890,0.209878690619356
GSM4511891,0.195507079956979
GSM4511892,0.224364484473058
GSM4511894,0.467866060457404
GSM4511895,0.520714673085112
GSM4511902,0.195492527406708
GSM4511893,0.28735991905745
GSM4511896,0.582299809298883
GSM4511897,0.41230372501806
GSM4511898,0.382018775678081
GSM4511899,0.558873079424714
GSM4511900,0.412298474596803
GSM4511901,0.391729279718881
GSM4511903,0.281226624878457
GSM4511904,0.322612182774897
GSM4511905,0.227732936890654
GSM4511906,0.273861007668258
GSM4511907,0.294724526144067
GSM1129686,0.293146825705584
GSM1129687,0.246444708361226
GSM1129688,0.230435970377204
GSM1129689,0.374898535430081
GSM1129690,0.350142590389997
GSM1129691,0.368079453035972
GSM1129692,0.23400172171467
GSM1129693,0.245178771015467
GSM1129694,0.299029377326417
GSM1129695,0.276950384607616
GSM1129696,0.2981144420534
GSM1129697,0.243306962559443
GSM1129698,0.306024195255679
GSM1129699,0.368813616262217
GSM1129700,0.234162511896435
GSM1129701,0.196799490744044
GSM1129702,0.216127148007432
GSM1129703,0.186340708594677
GSM1129704,0.237876206017549
GSM1129705,0.245802948917533
GSM1129706,0.208515012147063
GSM1129707,0.192134011890606
GSM1129708,0.21061589623517
GSM1129709,0.229067129908606
GSM1129710,0.196734338659496
GSM1129711,0.228712471677089
GSM1129712,0.232745471963851
GSM1129713,0.260786767576122
GSM1129714,0.181453800756002
GSM1129715,0.225244186261062
GSM1129716,0.393341536399709
GSM1129717,0.392278421488312
GSM1129718,0.549406770132111
GSM1129719,0.361087484562124
GSM1129720,0.481956840482666
GSM1129721,0.516799199697357
GSM1129722,0.445595768828799
GSM1129723,0.415575811302682
GSM1129724,0.561282984450083
GSM1129725,0.544085752202032
GSM1129726,0.447064502575337
GSM1129727,0.494693233514823
GSM1129728,0.39905650286768
GSM1129729,0.377825138736011
GSM1129730,0.423521213617357
GSM1129731,0.378489155644185
GSM1129732,0.505457258102228
GSM1129733,0.502050264307664
GSM1129734,0.412290369045686
